title, type, year, month, thumbnail, fOrder, jhOrder
'The Walk: Falling Leaves', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0651.jpg', '651', '1844'
'Peasant Woman Binding Sheaves (after Millet)', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0700.jpg', '700', '1781'
'Peasant Woman Cutting Straw (after Millet)', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0697.jpg', '697', '1788'
'The Pietà (after Delacroix) I', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0630.jpg', '630', '1775'
'Reaper with Sickle (after Millet)', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0687.jpg', '687', '1782'
'The Sheaf-Binder (after Millet)', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0693.jpg', '693', '1785'
'The Sheep-Shearers (after Millet)', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0634.jpg', '634', '1787'
'The Thresher (after Millet)', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0692.jpg', '692', '1784'
'Coal Barges I', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0437.jpg', '437', '1570'
'Peasant Woman Digging Up Potatoes', 'oil on canvas', 1885, 7, 'http://www.vggallery.com/painting/f_0098.jpg', '98', '901'
'Railway Carriages', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0446.jpg', '446', '1553'
'Le Moulin de la Galette I', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0226.jpg', '226', '1172'
'Pair of Shoes, A III', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0333.jpg', '333', '1236'
'Landscape with Trees and Figures', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0818.jpg', '818', '1848'
'Daubigny\'s Garden II', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0777.jpg', '777', '2105'
'Marguerite Gachet at the Piano', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0772.jpg', '772', '2048'
'Still Life with Bloaters I', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0283.jpg', '283', '1120'
'Portrait of a Woman (Madame Tanguy?)', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0357.jpg', '357', '1216'
'View of Paris from Montmartre', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0262.jpg', '262', '1102'
'Self-Portrait with a Japanese Print', 'oil on canvas', 1887, 11, 'http://www.vggallery.com/painting/f_0319.jpg', '319', '1333'
'Peasant Woman Standing Indoors', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0128.jpg', '128', '697'
'Le Moulin de la Galette II', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0228.jpg', '228', '1171'
'Weaver Facing Right (Half-Figure)', 'oil on canvas', 1884, 0, 'http://www.vggallery.com/painting/f_0026.jpg', '26', '450'
'Head of a Peasant Woman with White Cap I', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0081.jpg', '81', '695'
'Two Cut Sunflowers II', 'oil on canvas', 1887, 8, 'http://www.vggallery.com/painting/f_0376.jpg', '376', '1331'
'Peasant Woman Digging I', 'oil on canvas', 1885, 7, 'http://www.vggallery.com/painting/f_095a.jpg', '95a', '899'
'Portrait of the Postman Joseph Roulin I', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0432.jpg', '432', '1522'
'La Berceuse (Augustine Roulin) II', 'oil on canvas', 1889, 1, 'http://www.vggallery.com/painting/f_0508.jpg', '508', '1671'
'Houses in Auvers I', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0805.jpg', '805', '1989'
'Weaver Facing Left with Spinning Wheel', 'oil on canvas', 1884, 2, 'http://www.vggallery.com/painting/f_0029.jpg', '29', '471'
'Field with Ploughman and Mill', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0706.jpg', '706', '1794'
'Les Peiroulets Ravine II', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0662.jpg', '662', '1804'
'Field with Poppies I', 'oil on canvas', 1889, 5, 'http://www.vggallery.com/painting/f_0581.jpg', '581', '1751'
'Head of a Young Peasant in a Peaked Cap I', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0163.jpg', '163', '687'
'Wooden Sheds', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0623.jpg', '623', '1873'
'Le Moulin de la Galette III', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0348.jpg', '348', '1182'
'The Old Mill', 'oil on canvas', 1888, 8, 'http://www.vggallery.com/painting/f_0550.jpg', '550', '1577'
'Vase with Viscaria', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0324a.jpg', '324a', '1137'
'Autumn Landscape', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0119.jpg', '119', '949'
'Self-Portrait (Dedicated to Paul Gauguin)', 'oil on canvas', 1888, 8, 'http://www.vggallery.com/painting/f_0476.jpg', '476', '1581'
'Three Pairs of Shoes', 'oil on canvas', 1886, 11, 'http://www.vggallery.com/painting/f_0332.jpg', '332', '1234'
'Landscape at Auvers in the Rain', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0811.jpg', '811', '2096'
'Madame Roulin Rocking the Cradle (La Berceuse)', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0506.jpg', '506', '1670'
'The Poet\'s Garden', 'oil on canvas', 1888, 8, 'http://www.vggallery.com/painting/f_0468.jpg', '468', '1578'
'Peasant Woman Digging in Front of Her Cottage', 'oil on canvas', 1885, 5, 'http://www.vggallery.com/painting/f_0142.jpg', '142', '807'
'Montmartre', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0272.jpg', '272', '1183'
'Still Life with Apples, Pears, Lemons and Grapes', 'oil on canvas', 1887, 8, 'http://www.vggallery.com/painting/f_0382.jpg', '382', '1337'
'Fishing in Spring', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0354.jpg', '354', '1270'
'Self-Portrait VI', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0345.jpg', '345', '1249'
'The Bedroom', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0484.jpg', '484', '1771'
'The Drinkers', 'oil on canvas', 1890, 1, 'http://www.vggallery.com/painting/f_0667.jpg', '667', 1884
'Undergrowth with Two Figures', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0773.jpg', '773', '2041'
'Head of a Peasant Woman with Dark Cap I', 'oil on canvas', 1885, 0, 'http://www.vggallery.com/painting/f_0135.jpg', '135', '585'
'Portrait of Adeline Ravoux I', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0786.jpg', '786', '2036'
'The Road Menders I', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0657.jpg', '657', '1860'
'Two Poplars on a Road Through the Hills', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0638.jpg', '638', '1797'
'Pollard Willows', 'oil on canvas', 1889, 3, 'http://www.vggallery.com/painting/f_0520.jpg', '520', '1690'
'Portrait of Patience Escalier', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0444.jpg', '444', '1563'
'Thistles', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0447.jpg', '447', '1550'
'Self-Portrait with Bandaged Ear and Pipe', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0529.jpg', '529', '1658'
'Les Alyscamps I', 'oil on canvas', 1888, 10, 'http://www.vggallery.com/painting/f_0487.jpg', '487', '1621'
'The House of Pere Pilon', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0791.jpg', '791', '1995'
'Head of a Peasant with Cap I', 'oil on canvas', 1885, 0, 'http://www.vggallery.com/painting/f_0169a.jpg', '169a', '583'
'The Old Cemetery Tower at Nuenen in the Snow', 'oil on canvas', 1885, 0, 'http://www.vggallery.com/painting/f_0087.jpg', '87', '600'
'Banks of the Seine with the Pont de Clichy', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0302.jpg', '302', '1322'
'Portrait of Père Tanguy I', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0364.jpg', '364', '1352'
'The Sower (after Millet) I', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0690.jpg', '690', '1837'
'Wheat Field with Cypresses I', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0743.jpg', '743', '1790'
'The Langlois Bridge at Arles I', 'oil on canvas', 1888, 4, 'http://www.vggallery.com/painting/f_0570.jpg', '570', '1421'
'Cottage with Trees I', 'oil on canvas', 1885, 5, 'http://www.vggallery.com/painting/f_0093.jpg', '93', '805'
'Still Life: Pink Roses', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0595.jpg', '595', '2009'
'The Pont du Carrousel and the Louvre', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0221.jpg', '221', '1109'
'Portrait of Père Tanguy II', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0263.jpg', '263', '1202'
'Street Scene in Montmartre', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/jh_1240.jpg', '1240', ''
'Mountainous Landscape Behind Saint-Paul Hospital', 'oil on canvas', 1889, 5, 'http://www.vggallery.com/painting/f_0611.jpg', '611', '1723'
'Sheaves of Wheat', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0771.jpg', '771', '2125'
'Young Man with Cornflower', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0787.jpg', '787', '2050'
'Banks of the Seine with Pont de Clichy in the Spring', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0352.jpg', '352', '1321'
'The Willow', 'oil on canvas', 1885, 10, 'http://www.vggallery.com/painting/f_0195.jpg', '195', '961'
'Peasant Woman Digging II', 'oil on canvas', 1885, 7, 'http://www.vggallery.com/painting/f_0094.jpg', '94', '893'
'Edge of a Wheatfield with Poppies', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0310a.jpg', '310a', '1273'
'Portrait of the Postman Joseph Roulin II', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0433.jpg', '433', '1524'
'Bank of the Oise at Auvers', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0798.jpg', '798', '2021'
'Vase with Carnations II', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0243.jpg', '243', '1129'
'Self-Portrait with Straw Hat III', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0526.jpg', '526', '1309'
'Two Diggers among Trees', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0701.jpg', '701', '1847'
'Still Life with Quince Pears', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0602.jpg', '602', '1343'
'View of Paris from near Montmartre', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0265.jpg', '265', '1100'
'Orchard in Blossom (Plum Trees)', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0553.jpg', '553', '1387'
'Head of a Peasant Woman with White Cap II', 'oil on canvas', 1885, 3, 'http://www.vggallery.com/painting/f_0140.jpg', '140', '745'
'Olive Trees: Bright Blue Sky', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0714.jpg', '714', '1858'
'Quay with Men Unloading Sand Barges', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0449.jpg', '449', '1558'
'Portrait of Armand Roulin I', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0492.jpg', '492', '1642'
'The Garden of Saint-Paul Hospital II', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0660.jpg', '660', '1849'
'Wheat Field Behind Saint-Paul Hospital with a Reaper', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0619.jpg', '619', '1792'
'Peasant Woman Sewing', 'oil on canvas', 1885, 1, 'http://www.vggallery.com/painting/f_0126a.jpg', '126a', '655'
'Cottage and Woman with Goat', 'oil on canvas', 1885, 6, 'http://www.vggallery.com/painting/f_0090.jpg', '90', '823'
'Lane in Autumn', 'oil on canvas', 1884, 9, 'http://www.vggallery.com/painting/f_0120.jpg', '120', '519'
'Wheat Fields with Auvers in the Background', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0801.jpg', '801', '2123'
'Vase with Lilacs, Daisies and Anemones', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0322.jpg', '322', '1292'
'The Spinner', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0696.jpg', '696', '1786'
'Portrait of the Art Dealer Alexander Reid', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0343.jpg', '343', '1250'
'Le Moulin de la Galette IV', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0274.jpg', '274', '1115'
'Olive Grove: Orange Sky', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0586.jpg', '586', '1854'
'Lane near Arles, A', 'oil on canvas', 1888, 4, 'http://www.vggallery.com/painting/f_0567.jpg', '567', '1419'
'The Parsonage Garden at Nuenen', 'oil on canvas', 1884, 4, 'http://www.vggallery.com/painting/f_0185.jpg', '185', '484'
'Landscape Under a Stormy Sky', 'oil on canvas', 1888, 4, 'http://www.vggallery.com/painting/f_0575.jpg', '575', '1422'
'Head of a Peasant Woman with Dark Cap II', 'oil on canvas', 1885, 1, 'http://www.vggallery.com/painting/f_0138.jpg', '138', '644'
'Clumps of Grass', 'oil on canvas', 1889, 3, 'http://www.vggallery.com/painting/f_0582.jpg', '582', '1678'
'The Gleize Bridge over the Vigueirat Canal', 'oil on canvas', 1888, 2, 'http://www.vggallery.com/painting/f_0396.jpg', '396', '1367'
'Still Life: Vase with Flower and Thistles', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0599.jpg', '599', '2044'
'Still Life with Ginger Jar and Onions', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0104a.jpg', '104a', '924'
'Cottage I', 'oil on canvas', 1885, 5, 'http://www.vggallery.com/painting/f_0091.jpg', '91', '809'
'Vase with Red Poppies', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0279.jpg', '279', '1104'
'Self-Portrait VII', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0268.jpg', '268', '1299'
'Village Street in Auvers', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0802.jpg', '802', '2001'
'Daubigny\'s Garden III', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0776.jpg', '776', '2104'
'Wheat Field with Sheaves', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0561.jpg', '561', '1480'
'Rocks with Oak Tree', 'oil on canvas', 1888, 6, 'http://www.vggallery.com/painting/f_0466.jpg', '466', '1489'
'Enclosed Wheat Field with Peasant', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0641.jpg', '641', '1795'
'The Bridge at Trinquetaille', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0426.jpg', '426', '1468'
'Blossoming Almond Branch in a Glass with a Book', 'oil on canvas', 1888, 2, 'http://www.vggallery.com/painting/f_0393.jpg', '393', '1362'
'Village Street and Steps in Auvers with Two Figures', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0796.jpg', '796', '2110'
'Peasant Woman Raking', 'oil on canvas', 1885, 7, 'http://www.vggallery.com/painting/f_0139.jpg', '139', '905'
'Outskirts of Paris: Road with Peasant Shouldering a Spade', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0361.jpg', '361', '1260'
'The White Cottage Among the Olive Trees', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0664.jpg', '664', '1865'
'Harvest in Provence', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0558.jpg', '558', '1481'
'Green Ears of Wheat', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0562.jpg', '562', '1483'
'Entrance of Voyer d\'Argenson Park at Asnières', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0305.jpg', '305', '1265'
'Apricot Trees in Blossom I', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0399.jpg', '399', '1398'
'Head of a Young Peasant in a Peaked Cap II', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0165.jpg', '165', '688'
'The Rispal Restaurant at Asnières', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0355.jpg', '355', '1266'
'Olive Grove II', 'oil on canvas', 1889, 5, 'http://www.vggallery.com/painting/f_0715.jpg', '715', '1759'
'Road at Saint-Remy with Female Figure, A', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0728.jpg', '728', '1875'
'Peasant Woman, Seated with White Cap II', 'oil on canvas', 1884, 11, 'http://www.vggallery.com/painting/f_0143.jpg', '143', '546'
'Evening: The End of the Day (after Millet)', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0649.jpg', '649', '1835'
'Girl with Ruffled Hair ("The Mudlark")', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0535.jpg', '535', '1467'
'Peasant Making a Basket I', 'oil on canvas', 1885, 1, 'http://www.vggallery.com/painting/f_0171.jpg', '171', '658'
'Still Life with a Basket of Vegetables', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0212a.jpg', '212a', '929'
'Trees in the Garden of Saint-Paul Hospital I', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0731.jpg', '731', '1801'
'Still Life: Blue Enamel Coffeepot, Earthenware and Fruit', 'oil on canvas', 1888, 4, 'http://www.vggallery.com/painting/f_0410.jpg', '410', '1426'
'Still Life with a Basket of Potatoes, Surrounded by Autumn Leaves and Vegetables', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0102.jpg', '102', '937'
'Cows (after Jordaens)', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0822.jpg', '822', '2095'
'The Lovers: The Poet\'s Garden IV', 'oil on canvas', 1888, 9, 'http://www.vggallery.com/painting/f_0485.jpg', '485', '1615'
'Still Life: Vase with Oleanders', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0594.jpg', '594', '1567'
'Congregation Leaving the Reformed Church in Nuenen', 'oil on canvas', 1884, 1, 'http://www.vggallery.com/painting/f_0025.jpg', '25', '521'
'Head of a Peasant Woman with White Cap III', 'oil on canvas', 1885, 0, 'http://www.vggallery.com/painting/f_0065.jpg', '65', '627'
'Landscape with Windblown Trees', 'oil on canvas', 1885, 10, 'http://www.vggallery.com/painting/f_0196.jpg', '196', '957'
'Fritillaries', 'oil on canvas', 1886, 5, 'http://www.vggallery.com/painting/f_0214.jpg', '214', '1092'
'Portrait of a Man with a Moustache', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0288.jpg', '288', '1200'
'Corner in the Garden of Saint-Paul Hospital, A', 'oil on canvas', 1889, 4, 'http://www.vggallery.com/painting/f_0609.jpg', '609', '1693'
'Landscape in the Neighbourhood of Saint-Rémy', 'oil on canvas', 1889, 11, 'http://www.vggallery.com/painting/f_0726.jpg', '726', '1874'
'La Crau with Peach Trees in Blossom', 'oil on canvas', 1889, 3, 'http://www.vggallery.com/painting/f_0514.jpg', '514', '1681'
'Self-Portrait with Bandaged Ear', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0527.jpg', '527', '1657'
'Two Crabs', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0606.jpg', '606', '1662'
'Trunk of an Old Yew Tree', 'oil on canvas', 1888, 10, 'http://www.vggallery.com/painting/f_0573.jpg', '573', '1618'
'Still Life: Vase with Fifteen Sunflowers II', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0454.jpg', '454', '1562'
'Vincent\'s Chair with His Pipe', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0498.jpg', '498', '1635'
'Snowy Landscape with Arles in the Background', 'oil on canvas', 1888, 1, 'http://www.vggallery.com/painting/f_0391.jpg', '391', '1358'
'Thatched Cottages by a Hill', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0793.jpg', '793', '2114'
'Water Mill at Opwerten', 'oil on canvas', 1884, 10, 'http://www.vggallery.com/painting/f_0048.jpg', '48', '527'
'Head of a Peasant Woman with Dark Cap III', 'oil on canvas', 1885, 0, 'http://www.vggallery.com/painting/f_0137.jpg', '137', '593'
'Wheat Field with Cypresses II', 'oil on canvas', 1889, 8, 'http://www.vggallery.com/painting/f_0615.jpg', '615', '1755'
'Meadow in the Garden of Saint-Paul Hospital', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0672.jpg', '672', '1975'
'Le Mont Gaussier with the Mas de Saint-Paul', 'oil on canvas', 1889, 5, 'http://www.vggallery.com/painting/f_0725.jpg', '725', '1744'
'The Sower: Outskirts of Arles in the Background', 'oil on canvas', 1888, 8, 'http://www.vggallery.com/painting/f_0575a.jpg', '575a', '1596'
'The Parsonage Garden at Nuenen in the Snow I', 'oil on canvas', 1885, 0, 'http://www.vggallery.com/painting/f_0067.jpg', '67', '604'
'Lilacs I', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0286b.jpg', '286b', '1294'
'Irises', 'oil on canvas', 1889, 4, 'http://www.vggallery.com/painting/f_0608.jpg', '608', '1691'
'Trees in the Garden of Saint-Paul Hospital II', 'oil on canvas', 1889, 9, 'http://www.vggallery.com/painting/f_0643.jpg', '643', '1799'
'Head of a Peasant Woman in a Green Shawl', 'oil on canvas', 1885, 4, 'http://www.vggallery.com/painting/f_0155.jpg', '155', '787'
'Coal Barges II', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0438.jpg', '438', '1571'
'View of Vessenots Near Auvers', 'oil on canvas', 1890, 4, 'http://www.vggallery.com/painting/f_0797.jpg', '797', '2003'
'Landscape at Dusk', 'oil on canvas', 1885, 3, 'http://www.vggallery.com/painting/f_0191.jpg', '191', '762'
'Water Mill at Gennep II', 'oil on canvas', 1884, 10, 'http://www.vggallery.com/painting/f_0125.jpg', '125', '525'
'Bowl with Sunflowers, Roses and Other Flowers', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0250.jpg', '250', '1166'
'Portrait of the Postman Joseph Roulin III', 'oil on canvas', 1889, 3, 'http://www.vggallery.com/painting/f_0435.jpg', '435', '1674'
'The Smoker', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0534.jpg', '534', '1651'
'Still Life: Majolica Jug with Wildflowers', 'oil on canvas', 1888, 4, 'http://www.vggallery.com/painting/f_0600.jpg', '600', '1424'
'The Brothel', 'oil on canvas', 1888, 9, 'http://www.vggallery.com/painting/f_0478.jpg', '478', '1599'
'Nude Woman on a Bed', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0330.jpg', '330', '1214'
'The Factory at Asnieres', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0318.jpg', '318', '1288'
'Thatched Cottages in the Sunshine: Reminiscence of the North', 'oil on canvas', 1890, 1, 'http://www.vggallery.com/painting/f_0674.jpg', '674', '1920'
'Cottage with Peasant Coming Home', 'oil on canvas', 1885, 6, 'http://www.vggallery.com/painting/f_0170.jpg', '170', '824'
'Shepherd with a Flock of Sheep', 'oil on canvas', 1884, 8, 'http://www.vggallery.com/painting/f_0042.jpg', '42', '517'
'Olive Trees with Yellow Sky and Sun', 'oil on canvas', 1889, 10, 'http://www.vggallery.com/painting/f_0710.jpg', '710', '1856'
'Bowl with Chrysanthemums', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0217.jpg', '217', '1164'
'Portrait of Doctor Felix Rey', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0500.jpg', '500', '1659'
'Seascape at Saintes-Maries II', 'oil on canvas', 1888, 5, 'http://www.vggallery.com/painting/f_0417.jpg', '417', '1453'
'The Red Vineyard', 'oil on canvas', 1888, 10, 'http://www.vggallery.com/painting/f_0495.jpg', '495', '1626'
'Landscape with Carriage and Train in the Background', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0760.jpg', '760', '2019'
'Prisoners Exercising (after Doré)', 'oil on canvas', 1890, 1, 'http://www.vggallery.com/painting/f_0669.jpg', '669', 1885
'Orchard in Blossom with View of Arles', 'oil on canvas', 1889, 3, 'http://www.vggallery.com/painting/f_0516.jpg', '516', '1685'
'Still Life: Vase with Twelve Sunflowers I', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0456.jpg', '456', '1561'
'Plain Near Auvers', 'oil on canvas', 1890, 6, 'http://www.vggallery.com/painting/f_0782.jpg', '782', '2099'
'Weaver Near an Open Window', 'oil on canvas', 1884, 6, 'http://www.vggallery.com/painting/f_0024.jpg', '24', '500'
'Vase with Cornflowers and Poppies', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0324.jpg', '324', '1293'
'The Night Cafe in the Place Lamartine in Arles', 'oil on canvas', 1888, 8, 'http://www.vggallery.com/painting/f_0463.jpg', '463', '1575'
'Lane in Voyer d\'Argenson Park at Asnieres II', 'oil on canvas', 1887, 5, 'http://www.vggallery.com/painting/f_0276.jpg', '276', '1259'
'Portrait of a Woman with Red Ribbon', 'oil on canvas', 1885, 11, 'http://www.vggallery.com/painting/f_0207.jpg', '207', '979'
'Orchard in Blossom, Bordered by Cypresses I', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0554.jpg', '554', '1388'
'Flowering Garden', 'oil on canvas', 1888, 6, 'http://www.vggallery.com/painting/f_0430.jpg', '430', '1510'
'Pair of Shoes, A IV', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0461.jpg', '461', '1569'
'Still Life: Vase with Oleanders and Books', 'oil on canvas', 1888, 7, 'http://www.vggallery.com/painting/f_0593.jpg', '593', '1566'
'La Berceuse (Augustine Roulin) III', 'oil on canvas', 1889, 0, 'http://www.vggallery.com/painting/f_0505.jpg', '505', '1669'
'Orchard in Blossom II', 'oil on canvas', 1888, 3, 'http://www.vggallery.com/painting/f_0552.jpg', '552', '1381'
'Mother Roulin with Her Baby I', 'oil on canvas', 1888, 11, 'http://www.vggallery.com/painting/f_0491.jpg', '491', '1638'
'L\'Arlesienne: Madame Ginoux with Books', 'oil on canvas', 1888, 10, 'http://www.vggallery.com/painting/f_0488.jpg', '488', '1624'
'Portrait of the Postman Joseph Roulin IV', 'oil on canvas', 1889, 3, 'http://www.vggallery.com/painting/f_0436.jpg', '436', '1675'
'Landscape with Snow', 'oil on canvas', 1888, 1, 'http://www.vggallery.com/painting/f_0290.jpg', '290', '1360'
'The Little Stream', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0740.jpg', '740', '2022'
'Water Mill at Gennep III', 'oil on canvas', 1884, 10, 'http://www.vggallery.com/painting/f_0047.jpg', '47', '526'
'Peasant Woman Peeling Potatoes I', 'oil on canvas', 1885, 1, 'http://www.vggallery.com/painting/f_0365r.jpg', '365r', '654'
'Peasant Woman by the Fireplace I', 'oil on canvas', 1885, 5, 'http://www.vggallery.com/painting/f_0176.jpg', '176', '799'
