title, type, year, month, thumbnail, fOrder, jhOrder
'Landscape with the Chateau of Auvers at Sunset', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0770.jpg', '770', '2040'
'Still Life: Vase with Rose-Mallows', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0764a.jpg', '764a', '2046'
'Farmhouse with Two Figures', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0806.jpg', '806', '2017'
'View of Auvers', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0799.jpg', '799', '2004'
'Daubigny\'s Garden I', 'oil on canvas', 1890, 5, 'http://www.vggallery.com/painting/f_0765.jpg', '765', '2029'
'View of Amsterdam from Central Station', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0113.jpg', '113', '944'
'Village at Sunset', 'oil on canvas', 1884, 6, 'http://www.vggallery.com/painting/f_0190.jpg', '190', '492'
'The De Ruijterkade in Amsterdam', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0211.jpg', '211', '973'
'The Potato Eaters I', 'oil on canvas', 1885, 3, 'http://www.vggallery.com/painting/f_0082.jpg', '82', '764'
'Vase with Honesty', 'oil on canvas', 1884, 9, 'http://www.vggallery.com/painting/f_0076.jpg', '76', '542'
'Study for \'The Potato Eaters\'', 'oil on canvas', 1885, 3, 'http://www.vggallery.com/painting/f_0077r.jpg', '77r', '686'
'Woman Lifting Potatoes', 'oil on canvas', 1885, 7, 'http://www.vggallery.com/painting/f_0147.jpg', '147', '891'
'Old Church Tower at Nuenen (\'The Peasants\' Churchyard\')', 'oil on canvas', 1885, 5, 'http://www.vggallery.com/painting/f_0084.jpg', '84', '772'
'Flying Fox', 'oil on canvas', 1885, 10, 'http://www.vggallery.com/painting/f_0177a.jpg', '177a', '1192'
'Avenue of Poplars in Autumn', 'oil on canvas', 1884, 10, 'http://www.vggallery.com/painting/f_0122.jpg', '122', '522'
'Still Life with Birds\' Nests I', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0109r.jpg', '109r', '942'
'Still Life with Birds\' Nests II', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0111.jpg', '111', '939'
'Woman Sewing', 'oil on canvas', 1885, 3, 'http://www.vggallery.com/painting/f_0071.jpg', '71', '719'
'Bobbin Winder', 'oil on canvas', 1885, 3, 'http://www.vggallery.com/painting/f_0175.jpg', '175', '497'
'Head of a Woman I', 'oil on canvas', 1885, 4, 'http://www.vggallery.com/painting/f_0069.jpg', '69', '724'
'Head of a Woman II', 'oil on canvas', 1885, 4, 'http://www.vggallery.com/painting/f_0269r.jpg', '269r', '725'
'Head of a Man I', 'oil on canvas', 1885, 4, 'http://www.vggallery.com/painting/f_0179r.jpg', '179r', '786'
'Woman with a Mourning Shawl', 'oil on canvas', 1885, 4, 'http://www.vggallery.com/painting/f_0161.jpg', '161', '788'
'Head of a Woman III', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0080a.jpg', '80a', '682'
'Head of a Woman IV', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0070a.jpg', '70a', '716'
'Woman Winding Yarn', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0036.jpg', '36', '698'
'Head of a Woman V', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0130.jpg', '130', '692'
'Head of a Woman VI', 'oil on canvas', 1885, 2, 'http://www.vggallery.com/painting/f_0160.jpg', '160', '722'
'Head of a Woman VII', 'oil on canvas', 1885, 4, 'http://www.vggallery.com/painting/f_0388r.jpg', '388r', '782'
'The Cottage', 'oil on canvas', 1885, 4, 'http://www.vggallery.com/painting/f_0083.jpg', '83', '777'
'Still Life with Bottles and Earthenware', 'oil on canvas', 1884, 10, 'http://www.vggallery.com/painting/f_0061r.jpg', '61r', '533'
'Head of a Woman VIII', 'oil on canvas', 1884, 11, 'http://www.vggallery.com/painting/f_0156.jpg', '156', '569'
'Head of a Man II', 'oil on canvas', 1884, 11, 'http://www.vggallery.com/painting/f_0164.jpg', '164', '558'
'Head of a Woman IX', 'oil on canvas', 1884, 11, 'http://www.vggallery.com/painting/f_0159.jpg', '159', ''
'Still Life with Bible', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0117.jpg', '117', '946'
'The Vicarage at Nuenen', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0182.jpg', '182', '948'
'Beer Tankards', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0049.jpg', '49', '534'
'Still Life with Earthenware and Bottles', 'oil on canvas', 1885, 9, 'http://www.vggallery.com/painting/f_0053.jpg', '53', '538'
'Basket of Potatoes I', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0100.jpg', '100', '931'
'Basket of Potatoes II', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0116.jpg', '116', '934'
'Basket of Apples I', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0101.jpg', '101', '927'
'Basket of Apples II', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0099.jpg', '99', '930'
'Still Life with Brass Cauldron and Jug', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0051.jpg', '51', '925'
'Baskets of Potatoes', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0107.jpg', '107', '933'
'Still Life with Vegetables and Fruit', 'oil on canvas', 1885, 8, 'http://www.vggallery.com/painting/f_0103.jpg', '103', '928'
'Trees in a Field on a Sunny Day', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0291.jpg', '291', '1314'
'Self-Portrait with Grey Felt Hat I', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0295.jpg', '295', '1211'
'Vegetable Gardens in Montmartre: La Butte Montmartre', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0350.jpg', '350', '1245'
'Vase with Carnations I', 'oil on canvas', 1886, 6, 'http://www.vggallery.com/painting/f_0245.jpg', '245', '1145'
'Portrait of a Woman Seated', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0215d.jpg', '215d', ''
'Portrait of a Woman with Hat', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0215c.jpg', '215c', ''
'Two Cut Sunflowers I', 'oil on canvas', 1887, 8, 'http://www.vggallery.com/painting/f_0377.jpg', '377', '1328'
'Still Life with Apples', 'oil on canvas', 1887, 9, 'http://www.vggallery.com/painting/f_0254.jpg', '254', '1342'
'Montmartre: Quarry, the Mills', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0229.jpg', '229', '1176'
'The Hill of Montmartre with Quarry', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0230.jpg', '230', '1177'
'Still Life with Mussels and Shrimps', 'oil on canvas', 1886, 8, 'http://www.vggallery.com/painting/f_0256.jpg', '256', '1169'
'Still Life with Grapes', 'oil on canvas', 1887, 8, 'http://www.vggallery.com/painting/f_0603.jpg', '603', '1336'
'Still Life with Grapes, Pears and Lemons', 'oil on canvas', 1887, 8, 'http://www.vggallery.com/painting/f_0383.jpg', '383', '1339'
'Still Life with Red Cabbages and Onions', 'oil on canvas', 1887, 8, 'http://www.vggallery.com/painting/f_0374.jpg', '374', '1338'
'Self-Portrait with Pipe and Glass', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0263a.jpg', '263a', '1199'
'Self-Portrait in Front of the Easel', 'oil on canvas', 1888, 0, 'http://www.vggallery.com/painting/f_0522.jpg', '522', '1356'
'Agostina Segatori Sitting in the Cafe du Tambourin', 'oil on canvas', 1887, 2, 'http://www.vggallery.com/painting/f_0370.jpg', '370', '1208'
'Boulevard de Clichy', 'oil on canvas', 1887, 2, 'http://www.vggallery.com/painting/f_0292.jpg', '292', '1219'
'Street Scene in Montmartre: Le Moulin a Poivre', 'oil on canvas', 1887, 2, 'http://www.vggallery.com/painting/f_0347.jpg', '347', '1241'
'Vegetable Garden in Montmartre', 'oil on canvas', 1887, 2, 'http://www.vggallery.com/painting/f_0346.jpg', '346', '1244'
'Pair of Shoes, A I', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_0331.jpg', '331', '1235'
'Portrait of a Woman, Facing Right', 'oil on canvas', 1886, 0, 'http://www.vggallery.com/painting/f_215b.jpg', '215b', '1205'
'Factories Seen from a Hillside in Moonlight', 'oil on canvas', 1887, 0, 'http://www.vggallery.com/painting/f_0266a.jpg', '266a', '1223'
'Couples in the Voyer d\'Argenson Park at Asnieres', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0314.jpg', '314', '1258'
'Lane in Voyer d\'Argenson Park at Asnieres I', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0275.jpg', '275', '1278'
'Walk Along the Banks of the Seine Near Asnieres', 'oil on canvas', 1887, 6, 'http://www.vggallery.com/painting/f_0299.jpg', '299', '1254'
